,complexity
../MuseScore/15/5339755.musicxml,2.2174728718414904
../MuseScore/15/5670715.musicxml,4.861330274511202
../MuseScore/15/6253355.musicxml,2.703309801349981
../MuseScore/15/5294675.musicxml,1.9019448287997585
../MuseScore/15/5282755.musicxml,3.9329698612292887
../MuseScore/15/5321995.musicxml,2.6011653970301456
../MuseScore/15/6150615.musicxml,2.247307184065491
../MuseScore/15/5654795.musicxml,2.24147154079182
../MuseScore/15/6289455.musicxml,3.9398031796021997
../MuseScore/15/4799015.musicxml,0.984375
../MuseScore/15/5142815.musicxml,1.7596742473110274
../MuseScore/15/33715.musicxml,2.9727876252533454
../MuseScore/15/4996515.musicxml,3.2437634575140213
../MuseScore/15/5574335.musicxml,1.749186112899506
../MuseScore/15/5653455.musicxml,2.8457251207284413
../MuseScore/15/6035535.musicxml,2.721153846153846
../MuseScore/15/5463655.musicxml,0.7966582597730139
../MuseScore/15/6077415.musicxml,1.05859375
../MuseScore/15/5978655.musicxml,1.564708784315161
../MuseScore/15/4819655.musicxml,3.161666287158037
../MuseScore/15/5865035.musicxml,4.2168044448163275
../MuseScore/15/5922515.musicxml,2.7915419084972157
../MuseScore/15/6280255.musicxml,3.086286875250879
../MuseScore/10/6231970.musicxml,2.8958511623326646
../MuseScore/10/5374730.musicxml,1.3732274159663866
../MuseScore/10/5978470.musicxml,0.9829977628635347
../MuseScore/10/5980230.musicxml,1.7625922801504157
../MuseScore/10/4907010.musicxml,2.159183168139587
../MuseScore/10/5502890.musicxml,2.6547797422834885
../MuseScore/10/6193370.musicxml,3.9515767434189346
../MuseScore/10/5514850.musicxml,1.6979153104929052
../MuseScore/10/5649250.musicxml,1.3397116875793036
../MuseScore/10/5356590.musicxml,4.360336043863985
../MuseScore/10/5582930.musicxml,1.6715137153525779
../MuseScore/10/5984270.musicxml,1.3847414341144748
../MuseScore/10/6420130.musicxml,2.2291130641687054
../MuseScore/10/6465430.musicxml,4.262553191489362
../MuseScore/10/78190.musicxml,3.1202654150458606
../MuseScore/10/5431810.musicxml,1.2963083210189872
../MuseScore/10/117910.musicxml,0.7715412020601404
../MuseScore/10/6109310.musicxml,2.932116416624231
../MuseScore/10/5915810.musicxml,1.7527142992014875
../MuseScore/10/5586670.musicxml,1.56080696215085
../MuseScore/10/5667750.musicxml,1.7916142595483278
../MuseScore/10/5623470.musicxml,2.8284944082182775
../MuseScore/6/6288486.musicxml,1.8992018051551725
../MuseScore/6/2060986.musicxml,2.2039059561376764
../MuseScore/6/5975106.musicxml,1.6590931494506673
../MuseScore/6/1927186.musicxml,0.96875
../MuseScore/6/2748686.musicxml,1.7860679332181921
../MuseScore/6/5557666.musicxml,4.018037462431168
../MuseScore/6/4206346.musicxml,1.6226702731984468
../MuseScore/6/4365486.musicxml,0.5944242713807931
../MuseScore/6/1125866.musicxml,1.4823040700744556
../MuseScore/6/2849266.musicxml,1.9516614338042912
../MuseScore/6/4039426.musicxml,0.7246216315983758
../MuseScore/6/6211786.musicxml,0.9861111111111112
../MuseScore/6/4845326.musicxml,1.46875
../MuseScore/6/5507486.musicxml,2.3674357308095564
../MuseScore/6/875366.musicxml,1.503179917365082
../MuseScore/6/1041006.musicxml,2.7980646435513714
../MuseScore/6/3347966.musicxml,2.0422526266521794
../MuseScore/6/6045566.musicxml,2.5061842257167815
